player_name,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Aaliyah Edwards,Shot Type Detail,Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Pullup Jump shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Stefanie Dolson,Shot Type Detail,Turnaround Bank Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Turnaround Bank shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Turnaround Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Stefanie Dolson,Shot Type Detail,Turnaround Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,4,2,5,2,4,1,4,1,2,1,4,1
Aaliyah Edwards,Shot Type Detail,Putback Layup Shot,0,2,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,1,2,1,9,30,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Reverse Layup Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Running Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Running Jump Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,9,1,2,1,9,1,8,4,1,1,8,4
Aaliyah Edwards,Shot Type Detail,Running Layup Shot,4,4,1.0,0,0,0.0,1.0,0,0.75,0.25,0.0,0.0,0.75,0.25,2,4,1,1,2,1,1,1,6,3,1,1,6,3
